Schematic,Name,Mfr Part No.,Supplier Part No.,Cnt,Purchase Link,Datasheet Link
LED1,Green LED,SSL-LX5093GD-5V,67-1100-ND,1,https://www.digikey.com/product-detail/en/lumex-opto-components-inc/SSL-LX5093GD-5V/67-1100-ND/270898,https://www.lumex.com/content/files/ProductAttachment/SSL-LX5093GD-5V.pdf
R1,200 ohm R (for LED),RC0201FR-07200RL,YAG2495CT-ND,1,https://www.digikey.com/product-detail/en/yageo/RC0201FR-07200RL/YAG2495CT-ND/5281359,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf
P_In,Connector,M20-9990246 ,952-2262-ND ,1,https://www.digikey.com/product-detail/en/harwin-inc/M20-9990246/952-2262-ND/3728226,https://cdn.harwin.com/pdfs/M20-999.pdf
P_Out,USB_A Receptacle,USB-A1HSW6,ED2989-ND,1,https://www.digikey.com/product-detail/en/on-shore-technology-inc/USB-A1HSW6/ED2989-ND/2677750,http://www.on-shore.com/wp-content/uploads/2015/09/usb-a1hsxx.pdf
D1,Diode,CDBMT240-HF,641-1446-1-ND,1,https://www.digikey.com/product-detail/en/comchip-technology/CDBMT240-HF/641-1446-1-ND/2734598,http://www.comchiptech.com/admin/files/product/CDBMT240-HF%20Thru%20CDBMT2200-HF%20RevC.pdf
Regulator,Switch Regulator,ADP2302ARDZ-R7,ADP2302ARDZ-R7TR-ND,1,https://www.digikey.com/product-detail/en/analog-devices-inc/ADP2302ARDZ-R7/ADP2302ARDZ-R7TR-ND/2606525,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP2302_2303.pdf
C_in,Input Capacitator,TMK212BBJ106KG-T,587-2985-2-ND,1,https://www.digikey.com/product-detail/en/taiyo-yuden/TMK212BBJ106KG-T/587-2985-2-ND/2714163,https://www.yuden.co.jp/productdata/catalog/mlcc_all_e.pdf
C_out,Output Capacitator,SSB43L-E3/5BT,SSB43L-E3/5BTGITR-ND,2,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A226KQCLRNC/1276-6687-2-ND/5961171,http://www.samsungsem.com/kr/support/product-search/mlcc/CL21A226KQCLRNC.jsp
D2,Catch Diode,SSB43L-E3/5BT,SSB43L-E3/5BTGITR-ND,1,https://www.digikey.com/product-detail/en/vishay-semiconductor-diodes-division/SSB43L-E3-5BT/SSB43L-E3-5BTGITR-ND/2148926,https://www.digikey.com/product-detail/en/vishay-semiconductor-diodes-division/SSB43L-E3-5BT/SSB43L-E3-5BTGITR-ND/2148926
L,Inductor,NLCV32T-100K-PFR,445-3654-2-ND,1,https://www.digikey.com/product-detail/en/tdk-corporation/NLCV32T-100K-PFR/445-3654-2-ND/1856419,https://product.tdk.com/info/en/documents/catalog/inductor_commercial_decoupling_nlcv32-pfr_en.pdf
R2,R_Top,RMCF0402FT31K6,RMCF0402FT31K6TR-ND,1,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0402FT31K6/RMCF0402FT31K6TR-ND/1714647,
R3,R_Bot,RC0402FR-0710K2L,YAG2950TR-ND,1,https://www.digikey.com/product-detail/en/yageo/RC0402FR-0710K2L/YAG2950TR-ND/5280810,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf
C_BST,C_BST,GRM033C80J104KE15D,490-10390-2-ND,1,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM033C80J104KE15D/490-10390-2-ND/5027475,http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033C80J104KE15-01.pdf
R4,R_EN2,RC0402FR-0710K2L,YAG2950TR-ND,1,https://www.digikey.com/product-detail/en/yageo/RC0402FR-0710K2L/YAG2950TR-ND/5280810,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf
R5,R_EN1,RMCF0402FT56K0,RMCF0402FT56K0TR-ND,1,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0402FT56K0/RMCF0402FT56K0TR-ND/1714800,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf
R6,R_PGOOD,RMCF0402JT100K,RMCF0402JT100KTR-ND,1,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0402JT100K/RMCF0402JT100KTR-ND/1758198,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf
PTC1,PTC,PFMF.150.2,486-3541-1-ND,2,https://www.digikey.com/product-detail/en/schurter-inc/PFMF.150.2/486-3541-2-ND/2644332,http://www.schurterinc.com/bundles/snceschurter/epim/_ProdPool_/newDS/en/typ_PFMF.pdf
